,pow,iteration,dtype,optimization,seconds,bandwidth
225,7,2,2,2,1.8e-05,14.563555555555556
226,2,3,0,2,0.0,inf
227,13,3,2,0,0.420298,2.5547155208923193
228,4,3,0,2,1e-06,2.048
229,14,2,1,3,1.256901,1.7085543316458496
230,8,3,1,2,5.8e-05,9.03944827586207
231,14,3,0,2,1.315266,1.6327371406240259
232,12,2,1,0,0.065521,2.0484688573129226
233,5,3,1,2,2e-06,4.096
234,4,2,1,1,7e-06,0.2925714285714286
235,14,1,1,0,1.5927,1.3483290312048721
236,14,3,1,2,1.242703,1.7280747274288386
237,9,1,0,0,0.000515,4.072139805825242
238,14,1,1,2,1.268757,1.6925886107426402
239,7,2,0,0,0.000152,0.8623157894736843
240,7,1,2,1,2.6e-05,10.082461538461539
241,12,2,0,3,0.050902,2.636786923892971
242,1,2,1,3,0.0,inf
243,4,1,0,3,1e-06,2.048
244,3,1,0,0,1e-06,0.512
245,15,2,1,3,6.614527,1.29864684080963
246,6,1,2,2,4e-06,16.384
247,3,2,2,1,3e-06,0.3413333333333333
248,3,2,1,3,0.0,inf
249,3,1,2,2,1e-06,1.024
250,9,3,0,2,0.000274,7.6538394160583945
251,14,2,0,2,1.248574,1.719949036260566
252,5,3,0,2,2e-06,4.096
253,5,1,2,2,2e-06,8.192
254,7,1,1,3,1.4e-05,9.362285714285715
255,12,1,1,0,0.063077,2.1278394343421536
256,2,2,1,0,1e-06,0.128
257,6,1,1,0,1.3e-05,2.5206153846153847
258,12,2,2,1,0.092283,2.9088288850600867
259,5,2,2,3,1e-06,16.384
260,6,3,1,2,8e-06,4.096
261,15,2,2,2,8.370731,2.052373823026926
262,15,3,0,2,7.486312,1.1474187279397385
263,15,1,0,2,6.816916,1.2600910135903098
264,6,2,2,3,5e-06,13.1072
265,5,3,0,0,1e-05,0.8192
266,10,3,1,3,0.002359,3.5560016956337432
267,6,2,1,3,4e-06,8.192
268,3,1,0,1,2e-06,0.256
269,3,2,1,1,2e-06,0.256
270,11,1,0,1,0.012329,2.7215858544894154
271,5,1,1,0,3e-06,2.7306666666666666
272,3,1,0,2,1e-06,0.512
273,11,2,1,0,0.011601,2.892374105680545
274,15,3,2,0,4.80609,3.5746041343378923
275,4,1,2,3,1e-06,4.096
276,5,2,0,1,3e-06,2.7306666666666666
277,12,3,1,0,0.062878,2.134573745984287
278,1,2,1,1,2e-06,0.016
279,8,2,2,2,9.3e-05,11.275010752688171
280,10,2,2,3,0.00342,4.905618713450292
281,13,2,1,3,0.250327,2.1446784086414965
282,12,3,0,1,0.061701,2.1752925884507546
283,7,1,2,0,5.1e-05,5.140078431372549
284,15,3,0,1,8.613689,0.9972422491687359
285,8,1,2,2,6.2e-05,16.91251612903226
286,14,2,2,0,5.372831,0.7993862632195206
287,6,1,2,3,4e-06,16.384
288,4,1,2,2,0.0,inf
289,4,3,0,3,1e-06,2.048
290,15,1,1,1,8.621422,0.9963477709361634
291,15,2,0,0,1.435347,5.984569997359523
292,1,1,1,2,1e-06,0.032
293,3,3,1,2,0.0,inf
294,15,2,2,1,8.187718,2.098248765284784
295,8,3,2,1,7.7e-05,13.61787012987013
296,15,1,0,0,1.770772,4.8509546073689895
297,2,1,0,1,4e-06,0.032
298,15,2,0,3,6.60712,1.300102706171524
299,15,2,1,1,8.892044,0.9660247511145919
300,1,3,1,1,1e-06,0.032
301,12,1,2,0,0.083694,3.2073440867923626
302,5,1,0,1,2e-06,4.096
303,11,2,2,0,0.01631,4.114583936235438
304,11,2,0,3,0.010416,3.221431643625192
305,3,1,1,1,2e-06,0.256
306,11,2,1,3,0.010067,3.333111353928678
307,5,3,2,3,1e-06,16.384
308,1,1,0,2,0.0,inf
309,6,2,1,1,1.7e-05,1.927529411764706
310,10,2,0,3,0.002706,3.1000029563932
311,5,2,2,1,2e-06,8.192
312,12,3,2,0,0.081121,3.3090747895119637
313,3,3,2,3,1e-06,1.024
314,1,3,2,0,1e-06,0.064
315,7,3,1,3,1.5e-05,8.738133333333334
316,14,2,1,0,1.578995,1.360031949436192
317,6,3,1,3,4e-06,8.192
318,6,2,2,0,1.1e-05,5.9578181818181815
319,6,3,0,3,4e-06,8.192
320,9,2,2,1,0.000596,7.0374228187919465
321,13,1,0,3,0.249789,2.1492976552210066
322,9,2,0,2,0.000431,4.865781902552204
323,9,1,0,2,0.000324,6.472691358024691
324,14,3,2,0,5.393593,0.7963091200986059
325,3,3,0,3,0.0,inf
326,12,2,0,0,0.068623,1.9558708887690717
327,14,3,0,0,1.57175,1.3663010326069667
328,2,2,2,3,1e-06,0.256
329,11,1,2,0,0.017155,3.9119127951034685
330,13,1,1,2,0.251117,2.137931370635999
331,4,3,1,3,1e-06,2.048
332,1,3,2,1,0.0,inf
333,10,2,2,1,0.004028,4.165147964250248
334,6,1,1,1,2.4e-05,1.3653333333333333
335,3,2,0,1,3e-06,0.17066666666666666
336,2,2,2,1,2e-06,0.128
337,1,3,2,3,1e-06,0.064
338,15,1,0,1,8.62706,0.9956966326883087
339,11,1,1,0,0.011774,2.8498753184983863
340,12,3,2,3,0.065204,4.116855653027422
341,10,1,0,1,0.002834,2.9599887085391674
342,2,3,2,3,0.0,inf
343,6,3,0,2,4e-06,8.192
344,10,3,2,3,0.003592,4.67071714922049
345,11,3,1,3,0.009797,3.424970092885577
346,12,3,1,3,0.049769,2.6968138399405253
347,1,1,2,2,1e-06,0.064
348,2,1,2,2,1e-06,0.256
349,6,3,0,0,3.8e-05,0.8623157894736843
350,9,3,2,0,0.000675,6.213783703703704
351,3,1,1,2,1e-06,0.512
352,2,2,1,1,1e-06,0.128
353,11,3,1,2,0.009859,3.4034315853534842
354,3,3,0,0,1e-06,0.512
355,6,1,2,0,1.3e-05,5.041230769230769
356,14,2,0,3,1.298676,1.6535946209832169
357,1,2,0,1,3e-06,0.010666666666666666
358,7,2,2,3,1.8e-05,14.563555555555556
359,10,2,1,2,0.00235,3.569620425531915
360,1,3,0,1,3e-06,0.010666666666666666
361,7,3,2,0,5.3e-05,4.94611320754717
362,8,3,0,2,5.8e-05,9.03944827586207
363,12,2,0,1,0.062547,2.145869953794746
364,7,3,2,2,2e-05,13.1072
365,3,1,2,0,1e-06,1.024
366,2,1,1,0,1e-06,0.128
367,5,3,1,0,4e-06,2.048
368,7,3,0,1,2e-05,6.5536
369,3,2,1,2,1e-06,0.512
370,15,1,1,0,0.563986,15.230758550744168
371,2,3,2,1,2e-06,0.128
372,3,1,0,3,0.0,inf
373,10,1,2,1,0.004093,4.099002198876129
374,15,1,2,0,4.646259,3.6975702783680378
375,11,1,1,1,0.011897,2.8204111960998572
376,9,1,2,2,0.000725,5.785246896551724
377,2,2,0,2,0.0,inf
378,11,3,2,1,0.017279,3.883839574049424
379,2,2,2,0,1e-06,0.256
380,9,3,0,1,0.000335,6.260155223880597
381,13,3,1,0,0.313261,1.7138134399111284
382,2,2,0,3,0.0,inf
383,9,2,1,3,0.0003,6.990506666666667
384,8,1,1,3,7.3e-05,7.182027397260274
385,11,2,1,1,0.012378,2.7108120859589593
386,3,2,2,2,1e-06,1.024
387,11,3,1,1,0.012058,2.782752695306021
388,5,3,0,3,1e-06,8.192
389,2,1,2,1,1e-06,0.256
390,2,1,2,3,1e-06,0.256
391,15,2,1,0,0.389273,22.066607732876413
392,6,3,2,2,5e-06,13.1072
393,9,3,0,0,0.000486,4.315127572016461
394,8,1,1,0,0.000185,2.833989189189189
395,14,3,0,1,1.549468,1.385949014758614
396,13,3,2,2,0.339142,3.1660538181646625
397,15,1,1,3,6.661794,1.289432635113004
398,8,1,1,1,0.000272,1.927529411764706
399,14,1,2,1,4.672654,0.9191708386711278
400,14,1,0,1,1.553751,1.3821285701505581
401,10,1,2,3,0.003677,4.562745716616807
402,8,1,0,0,0.000447,1.172903803131991
403,4,2,0,2,1e-06,2.048
404,5,3,1,3,2e-06,4.096
405,14,3,1,0,1.579596,1.3595144885147847
406,10,3,2,0,0.004232,3.9643705103969755
407,2,3,1,1,2e-06,0.064
408,11,2,2,1,0.016899,3.971173678915912
409,4,3,2,1,3e-06,1.3653333333333333
410,7,3,1,2,1.5e-05,8.738133333333334
411,15,1,2,1,8.178413,2.1006360505393893
412,5,2,0,2,1e-06,8.192
413,15,2,2,0,4.556045,3.7707856669545627
414,6,1,1,2,4e-06,8.192
415,8,2,0,3,5.6e-05,9.362285714285715
416,13,1,1,3,0.250319,2.1447469508906636
417,7,2,1,2,1.5e-05,8.738133333333334
418,10,3,1,2,0.002322,3.612664944013781
419,12,1,0,0,0.063276,2.121147480877426
420,4,2,1,3,1e-06,2.048
421,13,2,1,0,0.316145,1.69817935441016
422,13,2,2,1,0.424154,2.531490505806853
423,1,1,1,0,1e-06,0.032
424,6,2,0,2,4e-06,8.192
425,3,3,1,3,1e-06,0.512
426,14,1,1,1,1.557983,1.3783742492697288
427,2,3,1,2,1e-06,0.128
428,12,2,2,2,0.065683,4.086833061827261
429,2,1,1,3,0.0,inf
430,11,2,1,2,0.010104,3.320905779889153
431,2,1,1,1,2e-06,0.064
432,1,2,0,2,1e-06,0.032
433,10,1,1,2,0.002421,3.464935150764147
434,7,3,0,0,0.000249,0.5263935742971888
435,4,3,2,3,1e-06,4.096
436,8,3,2,3,7.2e-05,14.563555555555556
437,14,2,1,1,1.556026,1.3801078182498236
438,5,2,0,3,1e-06,8.192
439,15,1,1,2,7.439357,1.154660892332496
440,8,1,2,0,0.000184,5.698782608695653
441,6,3,2,1,6e-06,10.922666666666666
442,1,3,1,2,0.0,inf
443,9,1,1,1,0.000654,3.2066544342507646
444,1,1,2,0,2e-06,0.032
445,10,1,0,2,0.002411,3.479306511820821
446,5,3,0,1,2e-06,4.096
447,11,1,2,3,0.014389,4.663900479532977
448,1,3,0,3,1e-06,0.032
449,7,2,1,0,4.5e-05,2.9127111111111113
450,9,1,1,0,0.000499,4.202709418837675
451,1,1,2,1,1e-06,0.064
452,8,2,2,1,0.000126,8.322031746031746
453,8,2,0,1,0.000122,4.29744262295082
454,15,3,1,0,0.544989,15.761666000598177
455,7,3,0,3,1.5e-05,8.738133333333334
456,12,3,2,2,0.065235,4.1148993025216525
457,4,1,1,1,8e-06,0.256
458,13,1,2,2,0.337672,3.1798367172877824
459,11,3,2,3,0.013839,4.849256738203628
460,2,3,2,0,1e-06,0.256
461,15,3,1,1,8.70038,0.9873056799817939
462,7,3,0,2,1.5e-05,8.738133333333334
463,12,3,1,2,0.050308,2.6679201717420686
464,13,1,0,1,0.308994,1.7374800546288924
465,10,2,2,2,0.003176,5.282498740554156
466,10,1,0,0,0.002402,3.4923430474604498
467,6,2,2,1,6e-06,10.922666666666666
468,7,3,1,0,3.6e-05,3.640888888888889
469,8,1,2,3,0.000118,8.886237288135593
470,6,1,0,3,4e-06,8.192
471,10,3,1,1,0.002645,3.1714964083175805
472,8,3,0,0,0.000192,2.7306666666666666
473,8,2,2,0,0.000319,3.2870721003134795
474,6,1,1,3,4e-06,8.192
475,2,2,0,1,4e-06,0.032
476,12,2,0,2,0.051331,2.614749917204029
477,13,1,0,2,0.246804,2.1752925884507546
478,1,2,2,0,1e-06,0.064
479,14,1,0,0,1.587759,1.3525249411277152
480,14,1,1,3,1.254341,1.7120413412301758
481,9,1,2,1,0.000464,9.03944827586207
482,10,3,2,1,0.00424,3.956890566037736
483,14,3,2,2,4.490601,0.9564348504799246
484,13,1,2,3,0.341989,3.139696961013366
485,6,3,1,0,1.3e-05,2.5206153846153847
486,5,1,0,0,5e-06,1.6384
487,4,3,1,2,1e-06,2.048
488,2,1,0,0,3e-06,0.042666666666666665
489,8,3,1,0,0.000143,3.6663496503496504
490,6,1,0,1,4e-06,8.192
491,8,3,2,2,8.7e-05,12.052597701149425
492,9,3,1,2,0.00027,7.76722962962963
493,9,3,1,0,0.000961,2.1822601456815818
494,2,1,1,2,1e-06,0.128
495,5,2,1,0,4e-06,2.048
496,5,3,2,2,2e-06,8.192
497,4,3,1,1,4e-06,0.512
498,4,3,0,1,2e-06,1.024
499,4,2,1,0,2e-06,1.024
500,9,3,0,3,0.000317,6.615621451104101
501,13,3,1,3,0.250498,2.1432143649849498
502,5,1,1,1,8e-06,1.024
503,11,2,0,0,0.012172,2.756690108445613
504,8,3,1,3,7.5e-05,6.990506666666667
505,9,2,0,0,0.000506,4.144569169960474
506,5,3,2,0,3e-06,5.461333333333333
507,8,3,0,1,0.000107,4.89988785046729
508,7,1,2,2,1.8e-05,14.563555555555556
509,9,1,0,1,0.000317,6.615621451104101
510,9,2,1,1,0.000301,6.967282392026578
511,5,2,1,2,2e-06,4.096
512,12,2,2,3,0.06641,4.042093901520856
513,13,1,2,1,0.422847,2.5393152227637894
514,3,3,0,1,2e-06,0.256
515,6,3,2,0,1.4e-05,4.6811428571428575
516,2,1,0,2,0.0,inf
517,3,2,1,0,1e-06,0.512
518,1,3,0,2,1e-06,0.032
519,8,2,1,0,0.000141,3.718354609929078
520,1,1,1,3,1e-06,0.032
521,14,2,0,0,1.605162,1.3378610059296197
522,5,2,0,0,1e-05,0.8192
523,13,2,0,0,0.316524,1.6961459857704313
524,8,2,2,3,7e-05,14.979657142857143
525,10,3,1,0,0.002503,3.3514214942069516
526,11,2,2,3,0.013644,4.918562298446203
527,8,3,2,0,0.00018,5.8254222222222225
528,4,1,0,0,2e-06,1.024
529,10,2,1,1,0.002872,2.920824512534819
530,1,2,2,2,1e-06,0.064
531,4,2,1,2,1e-06,2.048
532,14,1,2,2,4.226752,1.0161389397816574
533,13,2,1,1,0.306957,1.749010161032327
534,9,2,1,2,0.000274,7.6538394160583945
535,14,3,2,3,4.222166,1.0172426418099147
536,15,2,0,2,6.885917,1.2474641492193415
537,14,1,2,3,4.224701,1.0166322530280842
538,15,3,2,3,7.96865,2.155932207337504
539,2,3,1,3,0.0,inf
