,pow,iteration,dtype,optimization,seconds,bandwidth
125,1,1,2,3,1e-06,0.064
126,11,1,2,2,0.010775,6.228200835266821
127,10,1,0,3,0.000792,10.591676767676768
128,4,1,0,2,1e-06,2.048
129,12,1,2,2,0.049155,5.4610000203438105
130,3,1,2,1,0.0,inf
131,15,1,2,3,4.154622,4.135122084271445
132,13,2,0,1,0.141826,3.7854195422560037
133,4,2,2,1,1e-06,4.096
134,7,1,1,2,2.2e-05,5.9578181818181815
135,1,2,1,2,1e-06,0.032
136,11,1,2,1,0.010366,6.473940189079683
137,15,3,0,0,4.091026,2.0997017843445627
138,10,3,0,0,0.002233,3.756653828929691
139,1,3,0,0,1e-06,0.032
140,3,2,0,2,1e-06,0.512
141,14,3,1,3,0.5123,4.191847839156744
142,1,2,2,3,1e-06,0.064
143,12,1,0,3,0.026198,5.123205130162608
144,13,2,0,2,0.134257,3.9988299455521874
145,12,2,1,3,0.026244,5.114225270538028
146,7,2,2,0,5.1e-05,5.140078431372549
147,3,3,2,2,1e-06,1.024
148,6,2,0,3,5e-06,6.5536
149,7,2,2,1,2.2e-05,11.915636363636363
150,15,3,1,3,2.974691,2.8876729018240885
151,4,2,2,2,1e-06,4.096
152,15,3,0,3,2.986769,2.8759956300604435
153,13,2,1,2,0.139135,3.8586330686024364
154,3,3,2,0,1e-06,1.024
155,5,1,2,3,2e-06,8.192
156,10,3,0,3,0.000725,11.570493793103449
157,7,1,0,3,1.7e-05,7.710117647058824
158,2,3,1,0,1e-06,0.128
159,11,2,0,2,0.006247,5.371287337922203
160,4,1,1,0,2e-06,1.024
161,13,3,0,2,0.13386,4.010689616016734
162,8,3,1,1,7.9e-05,6.636556962025317
163,4,3,0,0,1e-06,2.048
164,2,3,2,2,1e-06,0.256
165,2,3,0,0,1e-06,0.128
166,8,3,0,3,4.1e-05,12.787512195121952
167,3,3,0,2,1e-06,0.512
168,1,2,0,3,1e-06,0.032
169,9,1,2,0,0.00055,7.626007272727272
170,13,3,0,3,0.11225,4.7828143608017815
171,3,1,1,0,1e-06,0.512
172,13,3,0,1,0.1393,3.8540625412778176
173,1,3,1,3,0.0,inf
174,3,3,1,0,1e-06,0.512
175,4,3,1,0,2e-06,1.024
176,9,3,1,3,0.000248,8.45625806451613
177,4,2,0,1,1e-06,2.048
178,7,3,2,1,2.1e-05,12.48304761904762
