,pow,iteration,dtype,optimization,tile_dim,copy,shared_copy,naive,coalesced,conflict-free
86,8,1,0,3,16,0.0,0.0,0.0,0.0,0.0
87,12,1,2,2,32,793.03,827.92,161.34,786.39,813.2
88,6,1,2,1,32,15.42,17.25,11.92,13.91,17.3
89,6,1,2,3,32,14.35,15.65,10.92,12.62,15.69
90,14,1,2,1,16,0.0,0.0,0.0,0.0,0.0
91,7,1,0,2,32,28.44,32.16,19.02,26.23,32.32
92,9,1,2,2,32,655.36,650.16,157.66,457.65,643.01
93,5,1,0,1,32,2.02,2.28,1.46,1.76,2.29
94,6,1,2,2,64,0.0,0.0,0.0,0.0,0.0
95,8,1,0,1,64,88.12,103.64,37.4,57.21,104.7
96,11,1,2,0,32,773.01,789.4,180.89,657.53,781.77
97,12,1,0,1,64,746.3,815.89,104.86,498.98,792.45
98,5,1,2,1,16,4.8,4.95,4.58,4.61,5.0
99,7,1,2,0,32,67.55,75.74,46.21,61.99,75.07
100,9,1,2,0,64,0.0,0.0,0.0,0.0,0.0
101,6,1,0,1,32,7.42,8.38,5.48,6.75,8.36
102,10,1,0,0,16,650.68,667.64,157.45,578.12,656.41
103,13,1,2,1,16,798.94,828.92,476.15,758.29,762.04
104,11,1,2,2,32,776.49,792.74,192.66,705.37,785.9
105,5,1,2,0,32,4.71,5.18,3.74,4.34,5.21
106,8,1,0,0,32,105.13,118.24,40.99,79.63,117.43
107,13,1,2,2,64,0.0,0.0,0.0,0.0,0.0
108,7,1,0,1,16,37.21,37.98,34.59,38.44,38.21
109,7,1,2,3,16,58.18,62.29,54.12,55.41,62.75
110,6,1,0,1,64,8.18,9.97,3.56,5.04,9.44
111,6,1,2,3,64,0.0,0.0,0.0,0.0,0.0
112,13,1,0,0,32,703.92,830.07,115.45,509.51,762.14
113,13,1,0,3,32,0.0,0.0,0.0,0.0,0.0
114,10,1,0,1,64,677.58,675.91,76.75,267.98,667.64
115,10,1,0,2,64,668.73,668.19,76.48,266.84,660.65
116,14,1,2,1,64,0.0,0.0,0.0,0.0,0.0
117,9,1,2,0,16,530.57,534.03,266.32,374.06,536.13
118,8,1,0,1,16,108.47,112.78,78.41,109.17,112.53
119,5,1,2,2,64,0.0,0.0,0.0,0.0,0.0
120,14,1,2,0,32,0.0,0.0,0.0,0.0,0.0
121,11,1,0,0,32,669.69,754.15,97.39,373.38,750.7
122,11,1,0,3,32,0.0,0.0,0.0,0.0,0.0
123,9,1,0,0,32,395.37,405.54,75.49,234.06,414.57
124,5,1,2,2,16,4.27,4.57,4.12,4.21,4.58
125,11,1,0,2,64,638.01,727.05,81.99,303.1,720.49
126,14,1,2,3,16,0.0,0.0,0.0,0.0,0.0
127,8,1,0,1,32,136.17,152.38,52.73,102.81,152.38
128,10,1,0,1,32,728.18,846.28,88.21,354.33,841.07
129,5,1,2,1,32,4.57,5.02,3.5,3.96,4.97
130,8,1,2,0,64,0.0,0.0,0.0,0.0,0.0
131,7,1,0,3,16,0.0,0.0,0.0,0.0,0.0
132,10,1,0,3,16,0.0,0.0,0.0,0.0,0.0
133,12,1,0,0,32,693.03,813.61,94.5,431.24,775.85
134,9,1,2,1,16,513.93,531.26,263.07,366.37,528.52
135,9,1,0,2,32,427.56,430.25,81.01,249.15,447.16
136,13,1,0,3,16,0.0,0.0,0.0,0.0,0.0
137,5,1,2,1,64,0.0,0.0,0.0,0.0,0.0
138,9,1,2,3,16,526.48,537.53,267.71,371.01,539.66
139,7,1,2,1,16,59.81,61.99,54.82,56.02,62.14
140,11,1,2,3,16,763.91,790.64,325.82,533.68,771.74
141,12,1,0,3,16,0.0,0.0,0.0,0.0,0.0
142,7,1,0,0,16,30.55,32.0,29.29,31.76,31.92
143,9,1,0,2,16,407.16,406.35,160.13,373.72,397.67
144,5,1,0,0,32,1.93,2.11,1.42,1.65,2.12
145,9,1,2,3,64,0.0,0.0,0.0,0.0,0.0
146,14,1,0,3,16,0.0,0.0,0.0,0.0,0.0
147,7,1,0,3,32,0.0,0.0,0.0,0.0,0.0
148,8,1,0,2,16,113.27,118.79,81.27,111.3,118.79
149,13,1,2,3,32,805.07,826.23,218.26,792.76,813.56
150,11,1,0,3,16,0.0,0.0,0.0,0.0,0.0
151,12,1,2,1,64,0.0,0.0,0.0,0.0,0.0
152,5,1,0,0,16,2.03,2.06,1.89,2.05,2.06
153,8,1,2,0,32,230.11,230.63,92.92,170.38,231.15
154,12,1,0,2,32,699.95,813.81,84.57,330.71,775.21
155,11,1,2,3,32,768.48,783.55,164.9,592.87,775.76
156,6,1,0,0,32,8.47,9.85,6.29,7.69,9.88
157,14,1,0,1,64,725.88,827.89,122.92,518.27,800.88
158,8,1,2,1,16,222.13,224.56,171.81,185.51,223.09
159,7,1,2,3,32,52.46,58.99,36.73,47.06,59.12
160,7,1,0,1,32,28.57,32.65,19.16,26.28,32.41
161,9,1,0,1,32,346.53,359.3,64.0,199.03,361.2
162,6,1,0,0,64,7.6,9.17,3.27,4.64,8.65
163,11,1,2,3,64,0.0,0.0,0.0,0.0,0.0
164,12,1,0,0,64,744.39,815.18,102.41,449.79,792.12
165,14,1,2,2,16,0.0,0.0,0.0,0.0,0.0
166,14,1,0,0,32,731.79,816.73,123.69,511.6,754.41
167,14,1,0,1,32,718.94,816.79,123.69,511.6,754.81
168,6,1,2,0,64,0.0,0.0,0.0,0.0,0.0
169,6,1,2,0,16,17.58,18.99,16.93,17.39,18.93
170,10,1,0,2,32,724.31,726.89,74.76,294.78,723.67
171,12,1,2,2,16,791.5,828.47,398.78,685.2,776.4
172,7,1,2,2,16,71.91,75.29,66.32,66.49,75.52
173,7,1,2,1,32,54.35,59.81,36.94,48.95,59.12
174,8,1,2,3,16,246.15,257.29,193.21,208.55,256.0
175,8,1,0,2,64,89.04,108.25,37.79,57.79,108.02
176,14,1,0,0,64,720.54,827.85,122.92,518.23,800.8
177,10,1,2,2,64,0.0,0.0,0.0,0.0,0.0
178,8,1,2,0,16,201.57,208.13,157.78,169.54,208.98
179,9,1,0,0,16,406.35,405.54,160.5,375.78,399.22
180,9,1,0,3,16,0.0,0.0,0.0,0.0,0.0
181,6,1,0,1,16,8.02,8.47,7.8,8.14,8.44
182,14,1,2,0,16,0.0,0.0,0.0,0.0,0.0
183,11,1,0,2,16,621.9,708.8,179.62,572.17,676.61
184,12,1,2,0,32,793.17,828.55,172.27,786.61,812.55
185,7,1,0,0,64,22.65,26.95,10.23,14.19,25.96
186,12,1,0,1,16,725.28,769.61,216.69,688.33,757.6
187,13,1,0,1,64,749.24,831.49,122.02,514.4,797.71
188,6,1,2,1,16,15.02,16.33,14.41,14.85,16.37
189,14,1,2,0,64,0.0,0.0,0.0,0.0,0.0
190,14,1,0,2,32,728.68,816.72,123.7,511.61,754.43
191,11,1,0,1,32,630.88,739.35,82.89,312.79,740.02
