,pow,iteration,dtype,optimization,tile_dim,copy,shared_copy,naive,coalesced,conflict-free
103,7,1,0,1,64,7.24,8.55375,3.44125,4.74625,8.6025
38,7,1,1,3,32,9.195,10.745,6.8375,8.68125,10.75
322,7,1,2,0,16,19.9725,21.33375,18.39125,18.49375,21.06125
31,7,1,2,0,64,0.0,0.0,0.0,0.0,0.0
238,7,1,0,3,32,9.18875,10.81125,6.8425,8.565,10.88375
156,7,1,2,1,16,19.87625,21.1925,18.39125,18.5875,21.1925
14,7,1,1,1,64,7.24,8.5575,3.44125,4.7625,8.55625
16,7,1,0,2,16,10.39,10.8225,9.52375,10.62,10.88375
351,7,1,2,2,16,13.115,21.1925,18.28625,18.63875,21.0875
135,7,1,1,2,16,10.3225,10.81125,9.5325,10.68875,10.81125
137,7,1,0,2,32,9.24875,10.89625,6.83625,8.6025,10.81125
153,7,1,2,1,64,0.0,0.0,0.0,0.0,0.0
17,7,1,1,3,64,7.24,8.49625,3.39625,4.72,8.59
280,7,1,1,1,16,10.39,10.88875,9.58125,10.66625,10.95875
151,7,1,2,3,64,0.0,0.0,0.0,0.0,0.0
22,7,1,2,3,16,19.5975,21.21375,18.16625,18.71375,21.1925
302,7,1,2,1,32,17.9775,20.5125,13.67125,16.75375,20.67375
335,7,1,0,3,64,7.26125,8.55625,3.44875,4.7675,8.64875
19,7,1,1,0,64,7.2075,8.55625,3.44125,4.77625,8.6025
262,7,1,1,2,64,7.30625,8.5925,3.42625,4.7625,8.52625
64,7,1,0,2,64,7.28375,8.52625,3.42625,4.765,8.54375
287,7,1,2,0,32,18.07875,20.3825,13.565,16.5825,20.62
244,7,1,1,2,32,8.1975,7.92125,6.80875,8.51125,8.52625
180,7,1,2,2,32,17.9775,20.525,13.675,16.66625,20.76625
49,7,1,2,3,32,17.8775,20.55,13.675,16.58,20.645
95,7,1,2,2,64,0.0,0.0,0.0,0.0,0.0
340,7,1,1,0,32,9.39625,11.10625,6.9,8.74375,11.035
255,7,1,0,1,32,9.2075,10.66625,6.8675,8.59625,10.88375
88,7,1,0,0,32,9.24875,10.95875,6.80875,8.69625,10.88375
288,7,1,0,0,64,7.175,8.64875,3.42625,4.73375,8.64875
240,8,1,2,2,64,0.0,0.0,0.0,0.0,0.0
350,8,1,1,3,64,28.98375,33.68375,11.84625,18.82375,33.85125
29,8,1,1,0,16,36.99375,37.87625,21.47625,35.955,37.9125
6,8,1,2,3,64,0.0,0.0,0.0,0.0,0.0
5,8,1,0,3,64,28.7,34.0425,11.94125,18.65875,34.225
134,8,1,0,3,16,30.965,31.84125,18.28625,30.0475,31.84125
217,8,1,1,3,32,34.9725,38.095,12.1275,26.23,38.32375
136,8,1,2,2,32,62.745,63.5925,23.97,47.4075,62.13625
71,8,1,0,0,64,28.7,34.39125,11.8075,18.87875,34.40875
25,8,1,1,1,64,28.78875,34.0425,11.94,18.6625,34.225
141,8,1,0,1,64,28.79625,33.91875,11.9625,18.66,34.0425
3,8,1,0,2,32,35.1825,38.55375,12.14,26.44625,38.55375
192,8,1,2,3,16,64.29125,66.32125,40.7275,51.2,69.945
216,8,1,1,2,32,35.35875,38.32375,12.21375,26.44625,38.16625
65,8,1,2,0,64,0.0,0.0,0.0,0.0,0.0
194,8,1,0,1,16,30.7825,31.68375,18.3375,30.025,31.68375
274,8,1,0,2,64,29.09125,33.8625,11.9625,18.935,34.225
123,8,1,1,2,64,28.84875,33.7125,11.94,18.87875,34.0425
161,8,1,0,0,32,34.9725,37.87,12.0525,26.23,38.08875
239,8,1,0,2,16,36.57125,38.095,21.50125,35.955,38.095
333,8,1,2,3,32,62.04125,64.0,24.15125,47.4075,61.83625
176,8,1,2,1,32,63.05375,63.77125,24.105,47.58375,62.43875
320,8,1,0,3,32,35.39,38.31625,12.2375,26.44625,38.7875
336,8,1,2,0,32,62.745,63.5925,24.105,47.94,62.13625
10,8,1,2,1,64,0.0,0.0,0.0,0.0,0.0
232,8,1,2,1,16,63.68125,66.72125,40.7725,50.5925,69.945
46,8,1,2,0,16,64.0,66.66625,40.76375,50.63,70.23375
177,8,1,1,3,16,36.42125,38.32375,21.42875,35.75375,38.095
36,8,1,1,1,32,35.165,38.5475,12.10375,26.44625,38.55375
115,8,1,1,0,64,28.7,33.9075,11.9625,18.65875,32.66375
48,8,1,1,2,16,36.36375,38.06,21.33375,35.75375,38.095
117,8,1,0,0,16,31.54625,32.32375,18.39125,30.0475,32.32375
178,8,1,1,0,32,35.75375,39.025,12.26,26.785,38.7875
202,8,1,0,1,32,35.165,38.55375,12.115,26.47,38.55375
11,8,1,1,1,16,36.36375,38.32375,21.33375,35.75375,38.28
348,8,1,2,2,16,64.32125,66.32125,40.895,50.6425,70.33
199,9,1,0,0,32,90.14125,97.385,14.5875,47.575,97.71
197,9,1,2,1,64,0.0,0.0,0.0,0.0,0.0
170,9,1,2,3,64,0.0,0.0,0.0,0.0,0.0
174,9,1,1,3,32,90.22,97.79125,14.67875,47.4075,98.08375
164,9,1,2,2,32,132.9975,127.36375,28.9925,87.82125,128.64375
157,9,1,2,3,32,132.3,127.68125,29.0625,87.925,128.9675
266,9,1,2,2,16,139.51,144.6325,60.9525,91.225,144.6325
214,9,1,0,2,32,90.45875,98.77,14.70625,47.76125,98.84125
272,9,1,1,3,64,97.71,92.35625,14.61375,44.0425,93.09125
304,9,1,0,3,32,90.14125,98.46125,14.7125,47.77,98.46125
256,9,1,0,1,32,90.14125,98.46125,14.69625,47.825,98.865
305,9,1,1,2,16,92.5025,93.43125,30.585,82.58125,93.09125
78,9,1,1,0,32,91.42875,99.61125,14.69625,47.85,99.225
253,9,1,2,3,16,138.75375,143.3675,60.8075,91.10375,143.4175
339,9,1,1,1,32,90.45875,98.46125,14.63625,47.76125,98.60375
85,9,1,1,3,16,91.67375,94.1175,30.69125,82.80625,93.175
42,9,1,0,3,64,98.01375,91.75625,14.62,44.445,94.1175
104,9,1,2,2,64,0.0,0.0,0.0,0.0,0.0
234,9,1,0,2,16,78.04875,80.0,26.1225,69.18875,78.2575
300,9,1,1,2,64,97.64,92.41875,14.62,44.2925,93.7725
109,9,1,2,1,32,132.65375,127.3725,29.025,87.82125,128.36125
282,9,1,2,0,16,140.27375,145.4675,60.8075,91.4025,145.455
228,9,1,2,0,64,0.0,0.0,0.0,0.0,0.0
37,9,1,1,0,64,98.08375,92.08625,14.62625,44.3675,93.51625
331,9,1,0,2,64,98.08375,92.45,14.61875,44.3675,93.43125
142,9,1,1,1,16,91.42875,93.7725,30.5125,82.5975,93.09125
139,9,1,2,0,32,132.5775,127.36375,29.06125,87.82125,128.32125
130,9,1,0,1,64,97.71,91.9725,14.6375,44.3675,93.7725
299,9,1,0,1,16,78.2875,79.75125,26.09625,69.0025,78.2875
127,9,1,1,2,32,90.14125,98.46125,14.67,47.68625,98.46125
276,9,1,0,0,16,78.76875,80.0,26.14875,70.1375,80.0
277,9,1,0,3,16,77.81125,80.32125,26.09625,69.61875,78.4975
35,9,1,0,0,64,97.33875,92.41875,14.5375,43.98625,93.09125
222,9,1,1,1,64,97.4075,91.75625,14.62,44.3675,93.71875
223,9,1,2,1,16,139.51,145.0425,60.8075,91.265,145.455
225,9,1,1,0,16,92.47125,93.6975,30.59625,83.3875,92.75375
310,10,1,0,3,64,161.0375,149.27125,15.6625,57.32375,149.27125
206,10,1,0,3,16,128.805,131.5775,29.2825,107.4425,128.64375
226,10,1,2,3,64,0.0,0.0,0.0,0.0,0.0
203,10,1,0,1,32,163.3175,172.48125,16.215,64.5675,172.1375
218,10,1,2,3,16,192.26625,198.06625,67.435,117.905,198.06625
273,10,1,1,2,16,149.68,154.91625,34.1675,129.62,151.92875
267,10,1,0,2,32,163.595,172.39,16.2125,64.5275,172.39
191,10,1,1,1,64,160.75375,149.27125,15.69875,57.335,149.27125
208,10,1,1,3,16,150.3675,155.6225,34.19,129.94875,152.6075
